"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent","AuditEvent","","","",0,*,"","","","null {[]} {[]}
","Event record kept for security purposes","A record of an event made for purposes of maintaining a security log. Typical uses include detection of intrusion attempts and monitoring for inappropriate usage.","Based on IHE-ATNA.","","","","","","","","",,,,,"",,,,"AuditEvent",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.outcomeDesc","AuditEvent.outcomeDesc","","","",0,1,"","","Y","string {[]} {[]}
","Description of the event outcome","A free text description of the outcome of the event.","","","","","","","","","",,,,,"",,,,"AuditEvent.outcomeDesc",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.purposeOfEvent","AuditEvent.purposeOfEvent","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The purposeOfUse of the event","The purposeOfUse (reason) that was used during the event being recorded.","Use AuditEvent.agent.purposeOfUse when you know that it is specific to the agent, otherwise use AuditEvent.purposeOfEvent. For example, during a machine-to-machine transfer it might not be obvious to the audit system who caused the event, but it does know why.","","","","","","","","",,"extensible","The reason the activity took place.","http://terminology.hl7.org/ValueSet/v3-PurposeOfUse","",,,,"AuditEvent.purposeOfEvent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent","AuditEvent.agent","","ActiveParticipant
","",2,*,"","","","BackboneElement {[]} {[]}
","Actor involved in the event","An actor taking an active role in the event or activity that is logged.","Several agents may be associated (i.e. have some responsibility for an activity) with an event or activity.

For example, an activity may be initiated by one user for other users or involve more than one user. However, only one user may be the initiator/requestor for the activity.","An agent can be a person, an organization, software, device, or other actors that may be ascribed responsibility.","","","","","","","",,,,,"","pattern:type}
","",,"open","AuditEvent.agent",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.id","AuditEvent.agent.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.extension","AuditEvent.agent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.modifierExtension","AuditEvent.agent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.type","AuditEvent.agent.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How agent participated","Specification of the participation type the user plays when performing the event.","","","","","","","","","",,"extensible","The Participation type of the agent to the event.","http://hl7.org/fhir/ValueSet/participation-role-type","",,,,"AuditEvent.agent.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.role","AuditEvent.agent.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Agent role in the event","The security role that the user was acting under, that come from local codes defined by the access control security system (e.g. RBAC, ABAC) used in the local context.","Should be roles relevant to the event. Should  not be an exhaustive list of roles.","This value ties an audited event to a user's role(s). It is an optional value that might be used to group events for analysis by user functional role categories.","","","","","","","",,"example","What security role enabled the agent to participate in the event.","http://hl7.org/fhir/ValueSet/security-role-type","",,,,"AuditEvent.agent.role",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.who","AuditEvent.agent.who","","userId
","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","Identifier of who","Reference to who this agent is that was involved in the event.","Where a User ID is available it will go into who.identifier.","This field ties an audit event to a specific resource or identifier.","","","","","","","",,,,,"",,,,"AuditEvent.agent.who",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.altId","AuditEvent.agent.altId","","","",0,1,"","","","string {[]} {[]}
","Alternative User identity","Alternative agent Identifier. For a human, this should be a user identifier text string from authentication system. This identifier would be one known to a common authentication system (e.g. single sign-on), if available.","","In some situations, a human user may authenticate with one identity but, to access a specific application system, may use a synonymous identify. For example, some ""single sign on"" implementations will do this. The alternative identifier would then be the original identify  used for authentication, and the User ID is the one known to and used by the application.","","","","","","","",,,,,"",,,,"AuditEvent.agent.altId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.name","AuditEvent.agent.name","","","",0,1,"","","","string {[]} {[]}
","Human friendly name for the agent","Human-meaningful name for the agent.","","The User ID and Authorization User ID may be internal or otherwise obscure values. This field assists the auditor in identifying the actual user.","","","","","","","",,,,,"",,,,"AuditEvent.agent.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.requestor","AuditEvent.agent.requestor","","","",1,1,"","","Y","boolean {[]} {[]}
","Whether user is initiator","Indicator that the user is or is not the requestor, or initiator, for the event being audited.","There can only be one initiator. If the initiator is not clear, then do not choose any one agent as the initiator.","This value is used to distinguish between requestor-users and recipient-users. For example, one person may initiate a report-output to be sent to another user.","","","","","","","",,,,,"",,,,"AuditEvent.agent.requestor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.location","AuditEvent.agent.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Where","Where the event occurred.","","","","","","","","","",,,,,"",,,,"AuditEvent.agent.location",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.policy","AuditEvent.agent.policy","","","",0,*,"","","","uri {[]} {[]}
","Policy that authorized event","The policy or plan that authorized the activity being recorded. Typically, a single activity may have multiple applicable policies, such as patient consent, guarantor funding, etc. The policy would also indicate the security token used.","For example: Where an OAuth token authorizes, the unique identifier from the OAuth token is placed into the policy element Where a policy engine (e.g. XACML) holds policy logic, the unique policy identifier is placed into the policy element.","This value is used retrospectively to determine the authorization policies.","","","","","","","",,,,,"",,,,"AuditEvent.agent.policy",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.media","AuditEvent.agent.media","","","",0,1,"","","","Coding {[]} {[]}
","Type of media","Type of media involved. Used when the event is about exporting/importing onto media.","","Usually, this is used instead of specifying a network address. This field is not used for Media Id (i.e. the serial number of a CD).","","","","","","","",,"extensible","Used when the event is about exporting/importing onto media.","http://hl7.org/fhir/ValueSet/dicm-405-mediatype","",,,,"AuditEvent.agent.media",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network","AuditEvent.agent.network","","","",0,1,"","","","BackboneElement {[]} {[]}
","Logical network location for application activity","Logical network location for application activity, if the activity has a network location.","","","","","","","","","",,,,,"",,,,"AuditEvent.agent.network",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network.id","AuditEvent.agent.network.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network.extension","AuditEvent.agent.network.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network.modifierExtension","AuditEvent.agent.network.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network.address","AuditEvent.agent.network.address","","","",0,1,"","","","string {[]} {[]}
","Identifier for the network access point of the user device","An identifier for the network access point of the user device for the audit event.","This could be a device id, IP address or some other identifier associated with a device.","This datum identifies the user's network access point, which may be distinct from the server that performed the action. It is an optional value that may be used to group events recorded on separate servers for analysis of a specific network access point's data access across all servers.","","","","","","","",,,,,"",,,,"AuditEvent.agent.network.address",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.network.type","AuditEvent.agent.network.type","","","",0,1,"","","","code {[]} {[]}
","The type of network access point","An identifier for the type of network access point that originated the audit event.","","This datum identifies the type of network access point identifier of the user device for the audit event. It is an optional value that may be used to group events recorded on separate servers for analysis of access according to a network access point's type.","","","","","","","",,"required","The type of network access point of this agent in the audit event.","http://hl7.org/fhir/ValueSet/network-type|4.0.1","",,,,"AuditEvent.agent.network.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent.purposeOfUse","AuditEvent.agent.purposeOfUse","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason given for this user","The reason (purpose of use), specific to this agent, that was used during the event being recorded.","Use AuditEvent.agent.purposeOfUse when you know that is specific to the agent, otherwise use AuditEvent.purposeOfEvent. For example, during a machine-to-machine transfer it might not be obvious to the audit system who caused the event, but it does know why.","","","","","","","","",,"extensible","The reason the activity took place.","http://terminology.hl7.org/ValueSet/v3-PurposeOfUse","",,,,"AuditEvent.agent.purposeOfUse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent:client","AuditEvent.agent","client","ActiveParticipant
","",1,1,"","","","BackboneElement {[]} {[]}
","Actor involved in the event","An actor taking an active role in the event or activity that is logged.","Several agents may be associated (i.e. have some responsibility for an activity) with an event or activity.

For example, an activity may be initiated by one user for other users or involve more than one user. However, only one user may be the initiator/requestor for the activity.","An agent can be a person, an organization, software, device, or other actors that may be ascribed responsibility.","","","","","","","",,,,,"",,,,"AuditEvent.agent",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.agent:client.id","AuditEvent.agent.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
