URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/IHE.mCSD.Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.FacilityOrganization,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.HealthcareService,StructureDefinition/IHE.mCSD.Practitioner,StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.Endpoint,StructureDefinition/IHE.mCSD.JurisdictionOrganization,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.OrganizationAffiliation.DocShare,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.LocationDistance,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates,StructureDefinition/IHE.mCSD.Organization,StructureDefinition/IHE.mCSD.Endpoint.DocShare,StructureDefinition/IHE.mCSD.PractitionerRole,StructureDefinition/IHE.mCSD.OrganizationAffiliation,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Location","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","THO"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/mimetypes,4.0.1,active,"2.16.840.1.113883.4.642.3.1024",Mime Types,MimeType,"This value set includes all possible codes from BCP-13 (http://tools.ietf.org/html/bcp13)","StructureDefinition/IHE.mCSD.Endpoint.DocShare,StructureDefinition/IHE.mCSD.Endpoint,StructureDefinition/IHE.mCSD.JurisdictionLocation","Other"
http://hl7.org/fhir/ValueSet/network-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.456",AuditEventAgentNetworkType,AuditEventAgentNetworkType,"The type of network access point of this agent in the audit event.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/object-lifecycle-events,5.2.0,active,"2.16.840.1.113883.4.642.3.3009",ObjectLifecycleEvents,ObjectLifecycleEvents,"This FHIR value set is comprised of lifecycle event codes. The FHIR Actor value set is based on    DICOM Audit Message, ParticipantObjectDataLifeCycle;   ISO Standard, TS 21089-2017;  ","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO"
http://hl7.org/fhir/ValueSet/object-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.460",AuditEventEntityRole,AuditEventEntityRole,"Code representing the role the entity played in the audit event.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO"
http://hl7.org/fhir/ValueSet/organization-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.880",OrganizationAffiliationRole,Organization Affiliation Role,"This example value set defines a set of codes that can be used to indicate the role of one Organization in relation to another.","StructureDefinition/IHE.mCSD.OrganizationAffiliation,StructureDefinition/IHE.mCSD.OrganizationAffiliation.DocShare","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/IHE.mCSD.Organization,StructureDefinition/IHE.mCSD.FacilityOrganization,StructureDefinition/IHE.mCSD.JurisdictionOrganization","THO"
http://hl7.org/fhir/ValueSet/participation-role-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.54",ParticipationRoleType,ParticipationRoleType,"This FHIR value set is comprised of Actor participation Type codes, which can be used to value FHIR agents, actors, and other role         elements. The FHIR Actor participation type value set is based on    DICOM Audit Message, C402;   ASTM Standard, E1762-95 [2013]; selected codes and          derived actor roles from HL7 RoleClass OID 2.16.840.1.113883.5.110;    HL7 Role Code 2.16.840.1.113883.5.111, including AgentRoleType;          HL7 ParticipationType OID: 2.16.840.1.113883.5.90; and    HL7 ParticipationFunction codes OID: 2.16.840.1.113883.5.88.           This value set includes, by reference, role codes from external code systems: NUCC Health Care Provider Taxonomy OID: 2.16.840.1.113883.6.101;          North American Industry Classification System [NAICS]OID: 2.16.840.1.113883.6.85; IndustryClassificationSystem 2.16.840.1.113883.1.11.16039;          and US Census Occupation Code OID: 2.16.840.1.113883.6.243 for relevant recipient or custodian codes not included in this value set.            If no source is indicated in the definition comments, then these are example FHIR codes.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO (V3),THO,DICOM"
http://hl7.org/fhir/ValueSet/practitioner-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.439",PractitionerRole,Practitioner role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","StructureDefinition/IHE.mCSD.PractitionerRole","SCT,THO"
http://hl7.org/fhir/ValueSet/program,4.0.1,draft,"2.16.840.1.113883.4.642.3.1383",Program,Program,"This value set defines an example set of codes that could be can be used to classify groupings of service-types/specialties.","StructureDefinition/IHE.mCSD.HealthcareService","THO"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates",
http://hl7.org/fhir/ValueSet/security-role-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.978",SecurityRoleType,SecurityRoleType,"This example FHIR value set is comprised of example Actor Type codes, which can be used to value FHIR agents, actors, and other role         elements such as those specified in financial transactions. The FHIR Actor value set is based on    DICOM Audit Message, C402;   ASTM Standard, E1762-95 [2013]; selected codes and          derived actor roles from HL7 RoleClass OID 2.16.840.1.113883.5.110;    HL7 Role Code 2.16.840.1.113883.5.111, including AgentRoleType;          HL7 ParticipationType OID: 2.16.840.1.113883.5.90; and    HL7 ParticipationFunction codes OID: 2.16.840.1.113883.5.88.           This value set includes, by reference, role codes from external code systems: NUCC Health Care Provider Taxonomy OID: 2.16.840.1.113883.6.101;          North American Industry Classification System [NAICS]OID: 2.16.840.1.113883.6.85; IndustryClassificationSystem 2.16.840.1.113883.1.11.16039;          and US Census Occupation Code OID: 2.16.840.1.113883.6.243 for relevant recipient or custodian codes not included in this value set.            If no source is indicated in the definition comments, then these are example FHIR codes.          It can be extended with appropriate roles described by SNOMED as well as those described in the HL7 Role Based Access Control Catalog and the          HL7 Healthcare (Security and Privacy) Access Control Catalog.            In Role-Based Access Control (RBAC), permissions are operations on an object that a user wishes to access. Permissions are grouped into roles.          A role characterizes the functions a user is allowed to perform. Roles are assigned to users. If the user's role has the appropriate permissions          to access an object, then that user is granted access to the object. FHIR readily enables RBAC, as FHIR Resources are object types and the CRUDE          events (the FHIR equivalent to permissions in the RBAC scheme) are operations on those objects.          In Attribute-Based Access Control (ABAC), a user requests to perform operations on objects. That user's access request is granted or denied          based on a set of access control policies that are specified in terms of attributes and conditions. FHIR readily enables ABAC, as instances of          a Resource in FHIR (again, Resources are object types) can have attributes associated with them. These attributes include security tags,          environment conditions, and a host of user and object characteristics, which are the same attributes as those used in ABAC. Attributes help          define the access control policies that determine the operations a user may perform on a Resource (in FHIR) or object (in ABAC). For example,          a tag (or attribute) may specify that the identified Resource (object) is not to be further disclosed without explicit consent from the patient.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO (V3),THO,DICOM"
http://hl7.org/fhir/ValueSet/service-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.516",ServiceCategory,Service category,"This value set defines an example set of codes that can be used to classify groupings of service-types/specialties.","StructureDefinition/IHE.mCSD.HealthcareService","THO"
http://hl7.org/fhir/ValueSet/service-provision-conditions,4.0.1,draft,"2.16.840.1.113883.4.642.3.514",ServiceProvisionConditions,ServiceProvisionConditions,"The code(s) that detail the conditions under which the healthcare service is available/offered.","StructureDefinition/IHE.mCSD.HealthcareService","THO"
http://hl7.org/fhir/ValueSet/service-referral-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.510",ReferralMethod,ReferralMethod,"The methods of referral can be used when referring to a specific HealthCareService resource.","StructureDefinition/IHE.mCSD.HealthcareService","THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/IHE.mCSD.HealthcareService","THO"
http://terminology.hl7.org/ValueSet/v2-0116,2.0.0,active,"2.16.840.1.113883.21.51",Hl7VSBedStatus,hl7VS-bedStatus,"Value Set of codes that specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.","StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-2.7-0360,0360,active,,v2.0360.2.7,v2 table 0360, Version 2.7,"FHIR Value set/code system definition for HL7 v2 table 0360 ver 2.9 ( Degree/License/Certificate)","StructureDefinition/IHE.mCSD.Practitioner","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-PurposeOfUse,3.1.0,active,"2.16.840.1.113883.1.11.20448",PurposeOfUse,PurposeOfUse,"Supports communication of purpose of use at a general level.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.PurposeOfUse,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,3.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","THO (V3)"
https://profiles.ihe.net/ITI/BALP/ValueSet/AllReadVS,1.1.3,active,,AllReadVS,all Reads,"ValueSet of the restful-interaction reads","StructureDefinition/IHE.mCSD.Audit.CareServices.Read","hl7.fhir.r4.core"
https://profiles.ihe.net/ITI/BALP/ValueSet/AllSearchVS,1.1.3,active,,AllSearchVS,all Searches,"ValueSet of the restful-interaction searches","StructureDefinition/IHE.mCSD.Audit.CareServices.Query","hl7.fhir.r4.core"
https://profiles.ihe.net/ITI/BALP/ValueSet/AllUpdateVS,1.1.3,active,,AllUpdateVS,all Updates,"ValueSet of the restful-interaction updates","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Process","hl7.fhir.r4.core"
https://profiles.ihe.net/ITI/BALP/ValueSet/DataSources,1.1.3,active,,DataSources,participant source types for RESTful create,"create agent participant types for user operators that are in REST","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process","THO (V3)"
https://profiles.ihe.net/ITI/BALP/ValueSet/RestObjectRoles,1.1.3,active,,RestObjectRoles,RESTful objects role in the event,"The role that the given Object played in the Audit Event recorded","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process","THO"
https://profiles.ihe.net/ITI/mCSD/ValueSet/IHE.mCSD.Organization.Location.Types,4.0.0-comment,active,,MCSDOrganizationLocationTypeValueSet,mCSD Types for Organizations and Locations,"mCSD Types for specialized Organization and Location resources.",,"Internal"
https://profiles.ihe.net/ITI/mCSD/ValueSet/MCSDEndpointIdentifierTypeValueSet,4.0.0-comment,active,,MCSDEndpointIdentifierTypeValueSet,mCSD Type codes for Endpoint.identifier,"mCSD Type codes for specific business identifiers for Endpoint resources.",,"Internal"
https://profiles.ihe.net/ITI/mCSD/ValueSet/MCSDEndpointTypesCoreDocShareVS,4.0.0-comment,active,,MCSDEndpointTypesCoreDocShareVS,mCSD Endpoint Core Document Sharing Types ValueSet,"ValueSet of the Core Document Sharing Endpoint types allowed","StructureDefinition/IHE.mCSD.Endpoint.DocShare","Internal"
https://profiles.ihe.net/ITI/mCSD/ValueSet/MCSDEndpointTypesVS,4.0.0-comment,active,,MCSDEndpointTypesVS,mCSD Endpoint Types ValueSet,"ValueSet of the Endpoint types allowed","StructureDefinition/ihe-endpointspecifictype","Internal"
https://profiles.ihe.net/ITI/mCSD/ValueSet/MCSDOrgAffTypesVS,4.0.0-comment,active,,MCSDOrgAffTypesVS,mCSD Organization Affiliation Types ValueSet,"ValueSet of Organization Affiliation types allowed",,"Internal,hl7.fhir.r4.core"
https://profiles.ihe.net/ITI/mCSD/ValueSet/MCSDOrganizationIdentifierTypeValueSet,4.0.0-comment,active,,MCSDOrganizationIdentifierTypeValueSet,mCSD Type codes for Organization.identifier,"mCSD Type codes for specific business identifiers for Organization resources.",,"Internal"
